config,cf_weight,content_weight,quality_weight,users_evaluated,precision_at_5,recall_at_5,precision_at_10,recall_at_10,precision_at_20,recall_at_20,selection_score
60_25_15,0.6,0.25,0.15,651,0.02918586789554527,0.016412892679092593,0.022273425499231912,0.0221030345392554,0.01943164362519205,0.03592469349203706,0.029099059495634485
65_25_10,0.65,0.25,0.1,651,0.027956989247311787,0.014561303775908854,0.021812596006144356,0.021615836043041823,0.01843317972350234,0.03507484266326138,0.02844371933470287
55_30_15,0.55,0.3,0.15,651,0.025499231950844824,0.015244703930159361,0.01904761904761901,0.021528199233403388,0.017050691244239646,0.03207183120586898,0.025559725126743996
60_30_10,0.6,0.3,0.1,651,0.025499231950844824,0.01502785662785816,0.019201228878648197,0.021825428676077084,0.016589861751152093,0.031179734872346494,0.025190481875497345
50_35_15,0.5,0.35,0.15,651,0.019662058371735777,0.012752261361264275,0.015360983102918562,0.017600686356011513,0.013978494623655902,0.028216485004473865,0.021788734053696215
55_35_10_CURRENT,0.55,0.35,0.1,651,0.020276497695852515,0.012659518246604965,0.015975422427035302,0.017622801062938797,0.013978494623655906,0.027468257941824416,0.02172184018442986
50_40_10,0.5,0.4,0.1,651,0.013517665130568358,0.010476892218672358,0.012596006144393223,0.01485892865307669,0.011136712749615954,0.023713015948373443,0.018154511046383333
45_40_15,0.45,0.4,0.15,651,0.013517665130568358,0.009080439209316123,0.011981566820276483,0.014504752205590563,0.010829493087557584,0.023318979763246626,0.017650273291761553
45_45_10,0.45,0.45,0.1,651,0.011674347158218133,0.007722593119227858,0.009831029185867889,0.01087371601017801,0.008909370199692764,0.021350695704955163,0.015590862445411526
